product_id,rfid_tags,aisle_slot,category,product_name,supplier_name,supplier_contact,contract_id,contract_valid_till,total_units,units_per_box,total_boxes,expiry_date,turnover_rate_per_month,monthly_sales,yearly_sales,demand_level,stock_status,reorder_point,specifications,description
PID-C019,RFID-C3019|RFID-C3019-BOX1|RFID-C3019-BOX2|RFID-C3019-BOX3|RFID-C3019-BOX4,C19,Consumables,Trash Bags,Consumables Supplier 19,+91-9982971099,CON-C-019,2027-12-03,80,20,4,2026-11-22,18,48,576,High,Overstock,10,"{""capacity"": ""50L"", ""material"": ""HDPE""}",Waste disposal bags.
PID-C020,RFID-C3020|RFID-C3020-BOX1,C20,Consumables,Paper Rolls,Consumables Supplier 20,+91-9660221300,CON-C-020,2028-05-16,12,10,1,2027-02-14,28,10,120,Medium,Low Stock,100,"{""type"": ""tissue"", ""length"": ""100m""}",Paper rolls.
PID-C021,RFID-C3021|RFID-C3021-BOX1|RFID-C3021-BOX2|RFID-C3021-BOX3|RFID-C3021-BOX4|RFID-C3021-BOX5,C21,Consumables,Pallet Covers,Consumables Supplier 21,+91-9388187517,CON-C-021,2027-06-15,100,20,5,2027-12-09,23,109,1308,Very High,Overstock,30,"{""material"": ""PE"", ""size"": ""standard""}",Pallet protection.
PID-C022,RFID-C3022|RFID-C3022-BOX1|RFID-C3022-BOX2|RFID-C3022-BOX3|RFID-C3022-BOX4|RFID-C3022-BOX5|RFID-C3022-BOX6,C22,Consumables,Stretch Film,Consumables Supplier 22,+91-9711871397,CON-C-022,2028-04-04,30,5,6,2027-09-06,19,22,264,Very High,Healthy,20,"{""thickness"": ""23\u00b5m"", ""roll"": ""300m""}",Load wrapping film.
PID-C023,RFID-C3023,C23,Consumables,Adhesive Glue,Consumables Supplier 23,+91-9956665975,CON-C-023,2027-04-10,1,10,0,2027-03-22,16,0,0,Medium,Low Stock,20,"{""type"": ""PVA"", ""volume"": ""500ml""}",General adhesive.
PID-C024,RFID-C3024|RFID-C3024-BOX1|RFID-C3024-BOX2,C24,Consumables,Cutter,Consumables Supplier 24,+91-9191926217,CON-C-024,2027-03-24,20,10,2,2027-10-02,11,18,216,Low,Low Stock,50,"{""blade"": ""SK5"", ""body"": ""ABS""}",Utility cutter.
PID-C025,RFID-C3025|RFID-C3025-BOX1|RFID-C3025-BOX2|RFID-C3025-BOX3,C25,Consumables,Scissors,Consumables Supplier 25,+91-9581223755,CON-C-025,2026-08-06,18,5,3,2026-11-15,20,17,204,Very High,Low Stock,100,"{""material"": ""stainless steel"", ""length"": ""8in""}",Cutting tool.
PID-C026,RFID-C3026|RFID-C3026-BOX1|RFID-C3026-BOX2,C26,Consumables,Tape Dispenser,Consumables Supplier 26,+91-9469106688,CON-C-026,2027-09-28,13,5,2,2027-10-15,21,11,132,High,Low Stock,20,"{""width"": ""48mm"", ""material"": ""metal""}",Tape gun.
PID-C027,RFID-C3027|RFID-C3027-BOX1|RFID-C3027-BOX2|RFID-C3027-BOX3|RFID-C3027-BOX4|RFID-C3027-BOX5,C27,Consumables,Clipboard,Consumables Supplier 27,+91-9874473159,CON-C-027,2027-02-02,50,10,5,2027-03-09,8,37,444,High,Overstock,20,"{""size"": ""A4"", ""material"": ""plastic""}",Document holder.
PID-C028,RFID-C3028,C28,Consumables,Printer Ink,Consumables Supplier 28,+91-9878017216,CON-C-028,2028-03-14,0,5,0,2027-10-23,13,15,180,Medium,Out of Stock,15,"{""type"": ""inkjet"", ""color"": ""CMYK""}",Printing ink.
PID-C029,RFID-C3029|RFID-C3029-BOX1|RFID-C3029-BOX2,C29,Consumables,Label Roll,Consumables Supplier 29,+91-9424557359,CON-C-029,2026-08-03,20,10,2,2027-09-26,10,14,168,High,Healthy,15,"{""type"": ""thermal"", ""count"": 500}",Label rolls.
PID-C030,RFID-C3030|RFID-C3030-BOX1|RFID-C3030-BOX2,C30,Consumables,File Folders,Consumables Supplier 30,+91-9784907325,CON-C-030,2027-12-04,20,10,2,2026-11-20,9,20,240,High,Healthy,10,"{""size"": ""A4"", ""material"": ""PP""}",Document storage.
